FID;cod_aldeia;nome_aldeia;cod_ti;cod_municipio;data_cadastro;flag_ativo;nome_cr;the_geom;nommunic;nomuf;undadm_codigo;coord_lat;coord_long
aldeias_pontos.fid--75d69c06_184becf87ba_-49a2;1849;KARIFAWYANA;46401;1400233;15/05/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-59.2926972222 0.687025);Caroebe;Roraima;30202001871;0.687025;-5.929.269.722
aldeias_pontos.fid--75d69c06_184becf87ba_-49a1;3483;KARIPUNA;21801;1100205;22/10/2018;A;COORDENACAO REGIONAL DE JI PARANA;POINT (-64.0029138889 -9.29626666667);Porto Velho;Rondônia;30202001948;-929.626.667;-6.400.291.389
aldeias_pontos.fid--75d69c06_184becf87ba_-49a0;3435;KARIRA;32401;2608057;11/10/2018;A;COORDENACAO REGIONAL BAIXO SÃO FRANCISCO;POINT (-38.2306361111 -9.18813888889);Jatobá;Pernambuco;30202001983;-918.813.889;-3.823.063.611
aldeias_pontos.fid--75d69c06_184becf87ba_-499f;3433;KARIRI;19402;2924009;11/10/2018;A;COORDENACAO REGIONAL NORDESTE I;POINT (-38.1980888889 -9.42334444444);Paulo Afonso;Bahia;30202001969;-942.334.444;-3.819.808.889
aldeias_pontos.fid--75d69c06_184becf87ba_-499e;4906;Kariri de Poço Dantas/Umari;64701;2304202;16/05/2022;A;COORDENACAO REGIONAL NORDESTE II;POINT (-39.5154083333 -7.11930833333);Crato;Ceará;30202001976;-711.930.833;-3.951.540.833
aldeias_pontos.fid--75d69c06_184becf87ba_-499d;3007;KARIRI XOCÓ;21702;2707503;03/09/2018;A;COORDENACAO REGIONAL NORDESTE I;POINT (-36.8366861111 -10.1743944444);Porto Real do Colégio;Alagoas;30202001969;-1.017.439.444;-3.683.668.611
aldeias_pontos.fid--75d69c06_184becf87ba_-499c;2944;KARIRI-XOCÓ DA BAHIA;62201;2924009;21/08/2018;A;COORDENACAO REGIONAL BAIXO SÃO FRANCISCO;POINT (-38.1981944444 -9.42186111111);Paulo Afonso;Bahia;30202001983;-942.186.111;-3.819.819.444
aldeias_pontos.fid--75d69c06_184becf87ba_-499b;4739;Karo Muybu;56701;1503606;25/03/2022;A;COORDENACAO REGIONAL DE TAPAJOS;POINT (-56.7902305556 -5.02944722222);Itaituba;Pará;30202001927;-502.944.722;-5.679.023.056
aldeias_pontos.fid--75d69c06_184becf87ba_-499a;276;Karuguá;73735;3505005;;A;COORDENACAO REGIONAL LITORAL SUDESTE;POINT (-49.5871527778 -23.6036111111);Barão de Antonina;São Paulo;30202002074;-2.360.361.111;-4.958.715.278
aldeias_pontos.fid--75d69c06_184becf87ba_-4999;1142;Kaseterita;50901;1400050;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-63.865301812 2.632957775);Alto Alegre;Roraima;30202001955;263.295.777;-6.386.530.181
aldeias_pontos.fid--75d69c06_184becf87ba_-4998;914;Kasinapiu;50901;1400027;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-64.498516837 3.9442453150001);Amajari;Roraima;30202001955;394.424.532;-6.449.851.684
aldeias_pontos.fid--75d69c06_184becf87ba_-4997;2093;Kasiri;34701;1303502;05/06/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-67.1065027778 -7.84653055556);Pauini;Amazonas;30202001878;-784.653.056;-6.710.650.278
aldeias_pontos.fid--75d69c06_184becf87ba_-4996;2099;Kasiriã;34701;1303502;05/06/2018;A;COORDENACAO REGIONAL MÉDIO PURUS;POINT (-66.9488361111 -8.02608611111);Pauini;Amazonas;30202001878;-802.608.611;-6.694.883.611
aldeias_pontos.fid--75d69c06_184becf87ba_-4995;1867;KASPAKURO;68101;1505304;16/05/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-56.8077972222 -0.608736111111);Oriximiná;Pará;30202001871;-0.60873611;-5.680.779.722
aldeias_pontos.fid--75d69c06_184becf87ba_-4994;1853;KASSAWÁ;30501;1503002;15/05/2018;A;COORDENACAO REGIONAL DE MANAUS;POINT (-58.0337361111 -1.10321666667);Faro;Pará;30202001871;-110.321.667;-5.803.373.611
aldeias_pontos.fid--75d69c06_184becf87ba_-4993;2879;KASSUPA SALAMÂE;21601;1100205;06/08/2018;A;COORDENACAO REGIONAL DE JI PARANA;POINT (-64.3184277778 -9.75522222222);Porto Velho;Rondônia;30202001948;-975.522.222;-6.431.842.778
aldeias_pontos.fid--75d69c06_184becf87ba_-4992;922;Katahia;50901;1400027;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-64.442066671 3.972550019);Amajari;Roraima;30202001955;397.255.002;-6.444.206.667
aldeias_pontos.fid--75d69c06_184becf87ba_-4991;1051;Kata kata;50901;1300409;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-64.449916473 1.440536815);Barcelos;Amazonas;30202001955;144.053.681;-6.444.991.647
aldeias_pontos.fid--75d69c06_184becf87ba_-4990;1104;KatanÃ£;50901;1400027;14/03/2017;A;COORDENACAO REGIONAL DE RORAIMA;POINT (-64.520586341 3.853244525);Amajari;Roraima;30202001955;385.324.453;-6.452.058.634
aldeias_pontos.fid--75d69c06_184becf87ba_-498f;12;Kateté;50501;1505536;;A;COORDENACAO REGIONAL DO BAIXO TOCANTINS;POINT (-50.803666666667 -6.2616944444444);Parauapebas;Pará;30202001906;-626.169.444;-5.080.366.667
